referrer,views_total,views_unique
github.com,3138,569
Google,2709,673
docs.monai.io,1539,422
monai.io,1246,302
paperswithcode.com,82,21
covid-segmentation.grand-challenge.org,58,23
notebooks.githubusercontent.com,58,16
colab.research.google.com,51,10
kitware.com,47,14
cn.bing.com,44,10
