url_path,views_total,views_unique
/Project-MONAI/tutorials,768,546
/Project-MONAI/tutorials/tree/main/3d_segmentation,180,132
/Project-MONAI/tutorials/blob/main/3d_segmentation/swin_unetr_brats21_segmentation_3d.ipynb,155,82
/Project-MONAI/tutorials/tree/main,130,85
/Project-MONAI/tutorials/blob/main/auto3dseg/README.md,119,70
/Project-MONAI/tutorials/blob/main/3d_segmentation/brats_segmentation_3d.ipynb,116,74
/Project-MONAI/tutorials/blob/main/2d_classification/mednist_tutorial.ipynb,106,74
/Project-MONAI/tutorials/tree/main/auto3dseg,99,65
/Project-MONAI/tutorials/blob/main/3d_segmentation/swin_unetr_btcv_segmentation_3d.ipynb,98,55
/Project-MONAI/tutorials/tree/main/2d_segmentation/torch,71,53
