time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-21 00:00:00+00:00,4,3,995,141
2024-01-22 00:00:00+00:00,10,9,4675,548
2024-01-23 00:00:00+00:00,7,6,4006,535
2024-01-24 00:00:00+00:00,7,7,3535,510
2024-01-25 00:00:00+00:00,7,7,3796,471
2024-01-26 00:00:00+00:00,2,2,2903,395
2024-01-27 00:00:00+00:00,6,6,1440,187
2024-01-28 00:00:00+00:00,4,4,1801,236
2024-01-29 00:00:00+00:00,9,8,4172,528
2024-01-30 00:00:00+00:00,7,7,4041,495
2024-01-31 00:00:00+00:00,9,9,3967,462
2024-02-01 00:00:00+00:00,31,13,4049,506
2024-02-02 00:00:00+00:00,9,8,3399,460
2024-02-03 00:00:00+00:00,7,5,1575,234
2024-02-04 00:00:00+00:00,1,1,802,115
