time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-30 00:00:00+00:00,1.0,1.0,768,122
2024-07-01 00:00:00+00:00,10.0,2.0,2944,451
2024-07-02 00:00:00+00:00,86.0,4.0,3708,517
2024-07-03 00:00:00+00:00,44.0,3.0,3381,478
2024-07-04 00:00:00+00:00,52.0,8.0,3145,404
2024-07-05 00:00:00+00:00,33.0,3.0,3080,383
2024-07-06 00:00:00+00:00,7.0,2.0,1414,223
2024-07-07 00:00:00+00:00,120.0,4.0,1372,210
2024-07-08 00:00:00+00:00,122.0,3.0,3670,481
2024-07-09 00:00:00+00:00,61.0,5.0,4303,546
2024-07-10 00:00:00+00:00,69.0,6.0,4545,565
2024-07-11 00:00:00+00:00,105.0,4.0,4240,509
2024-07-12 00:00:00+00:00,74.0,3.0,2926,440
2024-07-13 00:00:00+00:00,51.0,1.0,1447,201
2024-07-14 00:00:00+00:00,,,667,83
