url_path,views_total,views_unique
/Project-MONAI/tutorials,3183,1302
/Project-MONAI/tutorials/tree/main/3d_segmentation,1012,503
/Project-MONAI/tutorials/blob/main/3d_segmentation/brats_segmentation_3d.ipynb,552,302
/Project-MONAI/tutorials/blob/main/3d_segmentation/unetr_btcv_segmentation_3d.ipynb,545,330
/Project-MONAI/tutorials/blob/main/3d_segmentation/spleen_segmentation_3d.ipynb,482,249
/Project-MONAI/tutorials/blob/main/2d_classification/mednist_tutorial.ipynb,461,281
/Project-MONAI/tutorials/tree/main/2d_segmentation/torch,440,243
/Project-MONAI/tutorials/blob/main/3d_segmentation/swin_unetr_btcv_segmentation_3d.ipynb,321,193
/Project-MONAI/tutorials/tree/main/auto3dseg,294,130
/Project-MONAI/tutorials/search,280,82
