url_path,views_total,views_unique
/Project-MONAI/tutorials,3000,1472
/Project-MONAI/tutorials/tree/main/3d_segmentation,1753,490
/Project-MONAI/tutorials/blob/main/3d_segmentation/unetr_btcv_segmentation_3d.ipynb,1128,403
/Project-MONAI/tutorials/blob/main/3d_segmentation/brats_segmentation_3d.ipynb,1100,357
/Project-MONAI/tutorials/blob/main/3d_segmentation/spleen_segmentation_3d.ipynb,887,287
/Project-MONAI/tutorials/tree/main/2d_segmentation/torch,767,231
/Project-MONAI/tutorials/blob/main/3d_segmentation/swin_unetr_btcv_segmentation_3d.ipynb,644,220
/Project-MONAI/tutorials/blob/main/2d_classification/mednist_tutorial.ipynb,623,262
/Project-MONAI/tutorials/tree/main/3d_classification,553,179
/Project-MONAI/tutorials/tree/main/auto3dseg,484,134
