url_path,views_total,views_unique
/Project-MONAI/tutorials,3063,1476
/Project-MONAI/tutorials/tree/main/3d_segmentation,1859,528
/Project-MONAI/tutorials/blob/main/3d_segmentation/unetr_btcv_segmentation_3d.ipynb,1098,404
/Project-MONAI/tutorials/blob/main/3d_segmentation/brats_segmentation_3d.ipynb,1028,361
/Project-MONAI/tutorials/blob/main/3d_segmentation/spleen_segmentation_3d.ipynb,920,303
/Project-MONAI/tutorials/blob/main/3d_segmentation/swin_unetr_btcv_segmentation_3d.ipynb,808,254
/Project-MONAI/tutorials/tree/main/2d_segmentation/torch,785,237
/Project-MONAI/tutorials/blob/main/2d_classification/mednist_tutorial.ipynb,715,266
/Project-MONAI/tutorials/blob/main/3d_segmentation/swin_unetr_brats21_segmentation_3d.ipynb,607,174
/Project-MONAI/tutorials/tree/main/3d_classification,550,197
