url_path,views_total,views_unique
/Project-MONAI/tutorials,3027,1256
/Project-MONAI/tutorials/tree/main/3d_segmentation,992,456
/Project-MONAI/tutorials/blob/main/3d_segmentation/spleen_segmentation_3d.ipynb,612,290
/Project-MONAI/tutorials/blob/main/3d_segmentation/brats_segmentation_3d.ipynb,588,296
/Project-MONAI/tutorials/blob/main/3d_segmentation/unetr_btcv_segmentation_3d.ipynb,476,243
/Project-MONAI/tutorials/tree/main/2d_segmentation/torch,442,245
/Project-MONAI/tutorials/blob/main/2d_classification/mednist_tutorial.ipynb,367,247
/Project-MONAI/tutorials/blob/main/3d_segmentation/swin_unetr_btcv_segmentation_3d.ipynb,295,139
/Project-MONAI/tutorials/tree/main/3d_classification,257,158
/Project-MONAI/tutorials/search,246,88
