referrer,views_total,views_unique
Google,12535,1528
monai.io,3312,448
docs.monai.io,3134,379
github.com,2733,282
Bing,434,70
youtube.com,377,25
link.csdn.net,329,36
link.zhihu.com,260,39
cn.bing.com,233,35
statics.teams.cdn.office.net,141,28
