url_path,views_total,views_unique
/Project-MONAI/tutorials,2463,1492
/Project-MONAI/tutorials/tree/main/3d_segmentation,769,433
/Project-MONAI/tutorials/blob/main/3d_segmentation/brats_segmentation_3d.ipynb,642,334
/Project-MONAI/tutorials/blob/main/2d_classification/mednist_tutorial.ipynb,497,231
/Project-MONAI/tutorials/tree/main,476,283
/Project-MONAI/tutorials/blob/main/3d_segmentation/spleen_segmentation_3d.ipynb,468,259
/Project-MONAI/tutorials/blob/main/3d_segmentation/swin_unetr_brats21_segmentation_3d.ipynb,428,230
/Project-MONAI/tutorials/blob/main/3d_segmentation/swin_unetr_btcv_segmentation_3d.ipynb,423,234
/Project-MONAI/tutorials/tree/main/generation/maisi,420,150
/Project-MONAI/tutorials/blob/main/3d_segmentation/unetr_btcv_segmentation_3d.ipynb,389,208
