url_path,views_total,views_unique
/Project-MONAI/tutorials,2188,1271
/Project-MONAI/tutorials/tree/main/3d_segmentation,687,357
/Project-MONAI/tutorials/blob/main/3d_segmentation/brats_segmentation_3d.ipynb,538,281
/Project-MONAI/tutorials/tree/main/generation/maisi,429,146
/Project-MONAI/tutorials/tree/main,351,219
/Project-MONAI/tutorials/blob/main/3d_segmentation/spleen_segmentation_3d.ipynb,292,147
/Project-MONAI/tutorials/tree/main/2d_segmentation/torch,290,181
/Project-MONAI/tutorials/blob/main/2d_classification/mednist_tutorial.ipynb,258,143
/Project-MONAI/tutorials/tree/main/detection,237,77
/Project-MONAI/tutorials/tree/main/generation,233,121
