referrer,views_total,views_unique
github.com,4201,665
Google,3625,885
docs.monai.io,1916,442
monai.io,1230,330
covid-segmentation.grand-challenge.org,69,24
Bing,56,20
paperswithcode.com,55,22
cn.bing.com,46,18
colab.research.google.com,45,19
elearningv4.nuk.edu.tw,42,13
