url_path,views_total,views_unique
/Project-MONAI/tutorials/tree/main/3d_segmentation,2557,639
/Project-MONAI/tutorials,2434,1415
/Project-MONAI/tutorials/blob/main/3d_segmentation/brats_segmentation_3d.ipynb,1950,441
/Project-MONAI/tutorials/blob/main/3d_segmentation/spleen_segmentation_3d.ipynb,1739,404
/Project-MONAI/tutorials/blob/main/3d_segmentation/unetr_btcv_segmentation_3d.ipynb,1539,387
/Project-MONAI/tutorials/blob/main/3d_segmentation/swin_unetr_btcv_segmentation_3d.ipynb,1148,316
/Project-MONAI/tutorials/tree/main/2d_segmentation/torch,1110,260
/Project-MONAI/tutorials/blob/main/3d_segmentation/swin_unetr_brats21_segmentation_3d.ipynb,1055,271
/Project-MONAI/tutorials/blob/main/2d_classification/mednist_tutorial.ipynb,1005,251
/Project-MONAI/tutorials/blob/main/3d_segmentation/unet_segmentation_3d_ignite.ipynb,750,203
