referrer,views_total,views_unique
Google,11268,1389
monai.io,3595,448
docs.monai.io,2830,395
github.com,2198,254
Bing,389,70
link.zhihu.com,291,42
link.csdn.net,209,29
cn.bing.com,172,26
statics.teams.cdn.office.net,169,30
colab.research.google.com,133,23
