url_path,views_total,views_unique
/Project-MONAI/tutorials,2877,1486
/Project-MONAI/tutorials/tree/main/3d_segmentation,1870,545
/Project-MONAI/tutorials/blob/main/3d_segmentation/unetr_btcv_segmentation_3d.ipynb,1102,363
/Project-MONAI/tutorials/blob/main/3d_segmentation/brats_segmentation_3d.ipynb,927,359
/Project-MONAI/tutorials/blob/main/3d_segmentation/spleen_segmentation_3d.ipynb,817,291
/Project-MONAI/tutorials/tree/main/2d_segmentation/torch,766,248
/Project-MONAI/tutorials/blob/main/3d_segmentation/swin_unetr_btcv_segmentation_3d.ipynb,719,256
/Project-MONAI/tutorials/blob/main/2d_classification/mednist_tutorial.ipynb,637,257
/Project-MONAI/tutorials/blob/main/3d_segmentation/swin_unetr_brats21_segmentation_3d.ipynb,515,186
/Project-MONAI/tutorials/tree/main/3d_classification,505,176
