time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-06 00:00:00+00:00,4,4,806,219
2025-05-07 00:00:00+00:00,23,15,1976,461
2025-05-08 00:00:00+00:00,11,10,3965,450
2025-05-09 00:00:00+00:00,24,15,1310,355
2025-05-10 00:00:00+00:00,9,9,682,203
2025-05-11 00:00:00+00:00,21,14,671,209
2025-05-12 00:00:00+00:00,60,26,1663,475
2025-05-13 00:00:00+00:00,11,10,1709,463
2025-05-14 00:00:00+00:00,13,11,1681,511
2025-05-15 00:00:00+00:00,24,15,1747,441
2025-05-16 00:00:00+00:00,34,25,1575,399
2025-05-17 00:00:00+00:00,14,12,719,217
2025-05-18 00:00:00+00:00,16,14,703,198
2025-05-19 00:00:00+00:00,21,12,1563,403
2025-05-20 00:00:00+00:00,8,8,939,216
