url_path,views_total,views_unique
/Project-MONAI/tutorials,1801,1146
/Project-MONAI/tutorials/tree/main/3d_segmentation,495,291
/Project-MONAI/tutorials/tree/main/generation/maisi,440,132
/Project-MONAI/tutorials/blob/main/3d_segmentation/brats_segmentation_3d.ipynb,343,207
/Project-MONAI/tutorials/tree/main,302,204
/Project-MONAI/tutorials/tree/main/generation,245,94
/Project-MONAI/tutorials/tree/main/auto3dseg,219,130
/Project-MONAI/tutorials/blob/main/2d_classification/mednist_tutorial.ipynb,197,128
/Project-MONAI/tutorials/blob/main/3d_segmentation/unetr_btcv_segmentation_3d.ipynb,192,97
/Project-MONAI/tutorials/tree/main/2d_segmentation/torch,191,124
