url_path,views_total,views_unique
/Project-MONAI/tutorials,3387,1415
/Project-MONAI/tutorials/tree/main/3d_segmentation,1038,506
/Project-MONAI/tutorials/blob/main/3d_segmentation/unetr_btcv_segmentation_3d.ipynb,648,331
/Project-MONAI/tutorials/blob/main/3d_segmentation/brats_segmentation_3d.ipynb,602,308
/Project-MONAI/tutorials/blob/main/3d_segmentation/spleen_segmentation_3d.ipynb,595,287
/Project-MONAI/tutorials/blob/main/2d_classification/mednist_tutorial.ipynb,510,318
/Project-MONAI/tutorials/tree/main/2d_segmentation/torch,459,255
/Project-MONAI/tutorials/blob/main/3d_segmentation/swin_unetr_btcv_segmentation_3d.ipynb,353,178
/Project-MONAI/tutorials/tree/main/auto3dseg,290,146
/Project-MONAI/tutorials/issues,279,80
