time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-14 00:00:00+00:00,5,5,877,262
2025-05-15 00:00:00+00:00,24,15,1747,441
2025-05-16 00:00:00+00:00,34,25,1575,399
2025-05-17 00:00:00+00:00,14,12,719,217
2025-05-18 00:00:00+00:00,16,14,703,198
2025-05-19 00:00:00+00:00,21,12,1563,403
2025-05-20 00:00:00+00:00,15,14,2141,485
2025-05-21 00:00:00+00:00,17,16,1709,420
2025-05-22 00:00:00+00:00,45,27,1816,416
2025-05-23 00:00:00+00:00,15,11,1534,372
2025-05-24 00:00:00+00:00,11,11,690,163
2025-05-25 00:00:00+00:00,24,14,879,221
2025-05-26 00:00:00+00:00,14,10,1638,417
2025-05-27 00:00:00+00:00,11,11,1705,466
2025-05-28 00:00:00+00:00,12,10,778,237
