url_path,views_total,views_unique
/Project-MONAI/tutorials,2708,1562
/Project-MONAI/tutorials/tree/main/3d_segmentation,2304,539
/Project-MONAI/tutorials/blob/main/3d_segmentation/unetr_btcv_segmentation_3d.ipynb,1536,416
/Project-MONAI/tutorials/blob/main/3d_segmentation/brats_segmentation_3d.ipynb,1324,359
/Project-MONAI/tutorials/blob/main/3d_segmentation/swin_unetr_btcv_segmentation_3d.ipynb,1267,304
/Project-MONAI/tutorials/blob/main/3d_segmentation/spleen_segmentation_3d.ipynb,1212,330
/Project-MONAI/tutorials/blob/main/2d_classification/mednist_tutorial.ipynb,1133,315
/Project-MONAI/tutorials/tree/main/2d_segmentation/torch,1035,260
/Project-MONAI/tutorials/tree/main/3d_classification,852,217
/Project-MONAI/tutorials/tree/main/auto3dseg,847,168
