url_path,views_total,views_unique
/Project-MONAI/tutorials,3102,1226
/Project-MONAI/tutorials/tree/main/3d_segmentation,1104,477
/Project-MONAI/tutorials/blob/main/3d_segmentation/brats_segmentation_3d.ipynb,683,313
/Project-MONAI/tutorials/blob/main/3d_segmentation/spleen_segmentation_3d.ipynb,570,249
/Project-MONAI/tutorials/tree/main/2d_segmentation/torch,492,273
/Project-MONAI/tutorials/blob/main/3d_segmentation/unetr_btcv_segmentation_3d.ipynb,482,231
/Project-MONAI/tutorials/blob/main/2d_classification/mednist_tutorial.ipynb,382,236
/Project-MONAI/tutorials/blob/main/3d_segmentation/swin_unetr_btcv_segmentation_3d.ipynb,367,150
/Project-MONAI/tutorials/tree/main/3d_classification,285,165
/Project-MONAI/tutorials/issues,281,90
