referrer,views_total,views_unique
Google,6838,1545
monai.io,1563,415
docs.monai.io,1388,332
github.com,1330,303
Bing,299,93
cn.bing.com,139,39
chatgpt.com,105,40
statics.teams.cdn.office.net,93,27
arxiv.org,93,14
youtube.com,68,15
