referrer,views_total,views_unique
Google,14965,1686
monai.io,4238,433
github.com,2925,336
docs.monai.io,2808,361
Bing,724,107
cn.bing.com,473,52
notebooks.githubusercontent.com,200,21
link.zhihu.com,183,30
colab.research.google.com,153,21
monai.medium.com,145,17
