url_path,views_total,views_unique
/Project-MONAI/tutorials,3449,1429
/Project-MONAI/tutorials/tree/main/3d_segmentation,1064,518
/Project-MONAI/tutorials/blob/main/3d_segmentation/brats_segmentation_3d.ipynb,628,327
/Project-MONAI/tutorials/blob/main/3d_segmentation/unetr_btcv_segmentation_3d.ipynb,621,367
/Project-MONAI/tutorials/blob/main/2d_classification/mednist_tutorial.ipynb,536,332
/Project-MONAI/tutorials/blob/main/3d_segmentation/spleen_segmentation_3d.ipynb,524,284
/Project-MONAI/tutorials/tree/main/2d_segmentation/torch,445,243
/Project-MONAI/tutorials/tree/main/auto3dseg,331,138
/Project-MONAI/tutorials/blob/main/3d_segmentation/swin_unetr_btcv_segmentation_3d.ipynb,313,186
/Project-MONAI/tutorials/tree/main/3d_classification,287,167
