url_path,views_total,views_unique
/Project-MONAI/tutorials,2466,1421
/Project-MONAI/tutorials/tree/main/3d_segmentation,2080,539
/Project-MONAI/tutorials/blob/main/3d_segmentation/unetr_btcv_segmentation_3d.ipynb,1527,374
/Project-MONAI/tutorials/blob/main/3d_segmentation/brats_segmentation_3d.ipynb,1446,393
/Project-MONAI/tutorials/blob/main/3d_segmentation/swin_unetr_btcv_segmentation_3d.ipynb,1154,298
/Project-MONAI/tutorials/tree/main/2d_segmentation/torch,1104,264
/Project-MONAI/tutorials/blob/main/3d_segmentation/spleen_segmentation_3d.ipynb,1101,295
/Project-MONAI/tutorials/blob/main/2d_classification/mednist_tutorial.ipynb,984,282
/Project-MONAI/tutorials/blob/main/3d_segmentation/swin_unetr_brats21_segmentation_3d.ipynb,786,213
/Project-MONAI/tutorials/tree/main/auto3dseg,785,182
