time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-01 00:00:00+00:00,4.0,4.0,1259,154
2024-06-02 00:00:00+00:00,6.0,5.0,2103,237
2024-06-03 00:00:00+00:00,9.0,8.0,3735,567
2024-06-04 00:00:00+00:00,13.0,9.0,3907,533
2024-06-05 00:00:00+00:00,18.0,11.0,3902,527
2024-06-06 00:00:00+00:00,9.0,6.0,3838,528
2024-06-07 00:00:00+00:00,10.0,6.0,3046,458
2024-06-08 00:00:00+00:00,7.0,5.0,1552,211
2024-06-09 00:00:00+00:00,9.0,6.0,1456,227
2024-06-10 00:00:00+00:00,9.0,5.0,3452,462
2024-06-11 00:00:00+00:00,13.0,5.0,3637,500
2024-06-12 00:00:00+00:00,11.0,7.0,3638,523
2024-06-13 00:00:00+00:00,17.0,9.0,3776,481
2024-06-14 00:00:00+00:00,11.0,9.0,3295,477
2024-06-15 00:00:00+00:00,,,613,86
