referrer,views_total,views_unique
Google,13340,1583
docs.monai.io,3201,377
monai.io,3130,446
github.com,2542,292
Bing,1129,100
fr.search.yahoo.com,244,1
app.clickup.com,238,1
colab.research.google.com,227,23
youtube.com,158,14
Yahoo,122,3
