url_path,views_total,views_unique
/Project-MONAI/tutorials,3216,1413
/Project-MONAI/tutorials/tree/main/3d_segmentation,1067,448
/Project-MONAI/tutorials/blob/main/3d_segmentation/spleen_segmentation_3d.ipynb,626,297
/Project-MONAI/tutorials/blob/main/3d_segmentation/brats_segmentation_3d.ipynb,598,304
/Project-MONAI/tutorials/tree/main/2d_segmentation/torch,450,237
/Project-MONAI/tutorials/blob/main/3d_segmentation/unetr_btcv_segmentation_3d.ipynb,413,208
/Project-MONAI/tutorials/blob/main/2d_classification/mednist_tutorial.ipynb,356,243
/Project-MONAI/tutorials/blob/main/3d_segmentation/swin_unetr_btcv_segmentation_3d.ipynb,268,130
/Project-MONAI/tutorials/tree/main/3d_classification,256,153
/Project-MONAI/tutorials/tree/main/3d_classification/torch,225,147
