referrer,views_total,views_unique
Google,6261,1453
monai.io,1295,363
docs.monai.io,1120,287
github.com,974,211
Bing,347,75
chatgpt.com,141,50
notebooks.githubusercontent.com,118,31
statics.teams.cdn.office.net,93,33
DuckDuckGo,87,20
arxiv.org,79,10
