url_path,views_total,views_unique
/Project-MONAI/tutorials,2655,1486
/Project-MONAI/tutorials/tree/main/3d_segmentation,2305,536
/Project-MONAI/tutorials/blob/main/3d_segmentation/brats_segmentation_3d.ipynb,1423,385
/Project-MONAI/tutorials/blob/main/3d_segmentation/swin_unetr_btcv_segmentation_3d.ipynb,1337,336
/Project-MONAI/tutorials/blob/main/3d_segmentation/unetr_btcv_segmentation_3d.ipynb,1291,342
/Project-MONAI/tutorials/blob/main/3d_segmentation/spleen_segmentation_3d.ipynb,1267,351
/Project-MONAI/tutorials/blob/main/3d_segmentation/swin_unetr_brats21_segmentation_3d.ipynb,1015,255
/Project-MONAI/tutorials/tree/main/2d_segmentation/torch,967,240
/Project-MONAI/tutorials/blob/main/2d_classification/mednist_tutorial.ipynb,921,262
/Project-MONAI/tutorials/tree/main/3d_classification,872,216
