time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-10 00:00:00+00:00,16,2,759,230
2024-10-11 00:00:00+00:00,1,1,1360,408
2024-10-12 00:00:00+00:00,2,2,967,245
2024-10-13 00:00:00+00:00,9,4,721,207
2024-10-14 00:00:00+00:00,4,4,1766,433
2024-10-15 00:00:00+00:00,3,3,2037,533
2024-10-16 00:00:00+00:00,24,5,2063,504
2024-10-17 00:00:00+00:00,4,4,1707,488
2024-10-18 00:00:00+00:00,3,3,1936,462
2024-10-19 00:00:00+00:00,2,2,771,230
2024-10-20 00:00:00+00:00,2,2,1004,246
2024-10-21 00:00:00+00:00,4,3,1876,495
2024-10-22 00:00:00+00:00,4,3,2338,511
2024-10-23 00:00:00+00:00,8,4,2104,506
2024-10-24 00:00:00+00:00,1,1,849,238
