referrer,views_total,views_unique
Google,14265,1693
monai.io,3977,457
docs.monai.io,2926,403
github.com,2453,286
Bing,576,80
colab.research.google.com,243,28
link.zhihu.com,230,37
link.csdn.net,186,26
youtube.com,164,15
notebooks.githubusercontent.com,158,29
