time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-24 00:00:00+00:00,13,8,2073,338
2024-04-25 00:00:00+00:00,21,17,4451,579
2024-04-26 00:00:00+00:00,11,7,3798,506
2024-04-27 00:00:00+00:00,9,9,2169,281
2024-04-28 00:00:00+00:00,25,9,2371,313
2024-04-29 00:00:00+00:00,22,21,4694,573
2024-04-30 00:00:00+00:00,43,18,4158,578
2024-05-01 00:00:00+00:00,17,15,2889,395
2024-05-02 00:00:00+00:00,12,10,4220,497
2024-05-03 00:00:00+00:00,10,10,3101,435
2024-05-04 00:00:00+00:00,5,5,1850,229
2024-05-05 00:00:00+00:00,4,4,2182,247
2024-05-06 00:00:00+00:00,9,7,4002,483
2024-05-07 00:00:00+00:00,30,15,3723,536
2024-05-08 00:00:00+00:00,14,8,1555,224
