time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-06-23 00:00:00+00:00,1043,64,3076,485
2022-06-24 00:00:00+00:00,875,94,2416,351
2022-06-25 00:00:00+00:00,223,39,774,177
2022-06-26 00:00:00+00:00,335,55,961,187
2022-06-27 00:00:00+00:00,988,93,2648,445
2022-06-28 00:00:00+00:00,1039,96,3463,475
2022-06-29 00:00:00+00:00,1134,104,3636,463
2022-06-30 00:00:00+00:00,779,85,2717,431
2022-07-01 00:00:00+00:00,681,66,2189,334
2022-07-02 00:00:00+00:00,387,41,1192,170
2022-07-03 00:00:00+00:00,333,36,1119,185
2022-07-04 00:00:00+00:00,310,60,1956,386
2022-07-05 00:00:00+00:00,720,87,3031,441
2022-07-06 00:00:00+00:00,564,97,2522,448
2022-07-07 00:00:00+00:00,751,85,2841,435
2022-07-08 00:00:00+00:00,710,68,2444,379
2022-07-09 00:00:00+00:00,437,50,1431,188
2022-07-10 00:00:00+00:00,391,52,1303,200
2022-07-11 00:00:00+00:00,921,138,3242,416
2022-07-12 00:00:00+00:00,597,61,3821,447
2022-07-13 00:00:00+00:00,1083,101,3407,428
2022-07-14 00:00:00+00:00,921,70,3229,400
2022-07-15 00:00:00+00:00,794,69,2732,367
2022-07-16 00:00:00+00:00,334,27,994,166
2022-07-17 00:00:00+00:00,158,21,860,168
2022-07-18 00:00:00+00:00,571,65,2832,452
2022-07-19 00:00:00+00:00,817,78,3163,442
2022-07-20 00:00:00+00:00,768,63,2863,419
2022-07-21 00:00:00+00:00,778,67,2853,399
2022-07-22 00:00:00+00:00,663,53,2514,369
2022-07-23 00:00:00+00:00,187,27,1132,169
2022-07-24 00:00:00+00:00,49,24,828,155
2022-07-25 00:00:00+00:00,305,51,2699,393
2022-07-26 00:00:00+00:00,388,49,2436,372
2022-07-27 00:00:00+00:00,529,47,2292,432
2022-07-28 00:00:00+00:00,674,66,2581,388
2022-07-29 00:00:00+00:00,636,54,1967,322
2022-07-30 00:00:00+00:00,95,30,695,134
2022-07-31 00:00:00+00:00,35,16,379,109
2022-08-01 00:00:00+00:00,583,64,2324,364
2022-08-02 00:00:00+00:00,695,64,1798,386
2022-08-03 00:00:00+00:00,971,64,2210,433
2022-08-04 00:00:00+00:00,1145,69,2171,395
2022-08-05 00:00:00+00:00,1189,52,2099,353
2022-08-06 00:00:00+00:00,166,36,838,156
2022-08-07 00:00:00+00:00,39,21,510,151
2022-08-08 00:00:00+00:00,866,62,2462,409
2022-08-09 00:00:00+00:00,725,47,2145,379
2022-08-10 00:00:00+00:00,1154,57,2192,382
2022-08-11 00:00:00+00:00,1218,56,2284,351
2022-08-12 00:00:00+00:00,912,48,1874,332
2022-08-13 00:00:00+00:00,146,19,679,154
2022-08-14 00:00:00+00:00,256,28,622,163
2022-08-15 00:00:00+00:00,1024,42,1876,301
2022-08-16 00:00:00+00:00,953,51,2190,389
2022-08-17 00:00:00+00:00,463,42,1970,358
2022-08-18 00:00:00+00:00,897,52,2133,355
2022-08-19 00:00:00+00:00,813,57,1700,339
2022-08-20 00:00:00+00:00,239,28,555,149
2022-08-21 00:00:00+00:00,48,15,668,166
2022-08-22 00:00:00+00:00,812,45,2062,375
2022-08-23 00:00:00+00:00,1397,72,2446,351
2022-08-24 00:00:00+00:00,852,52,2229,433
2022-08-25 00:00:00+00:00,808,54,1851,374
2022-08-26 00:00:00+00:00,1185,49,2069,358
2022-08-27 00:00:00+00:00,250,33,700,143
2022-08-28 00:00:00+00:00,105,19,555,140
2022-08-29 00:00:00+00:00,523,51,1884,370
2022-08-30 00:00:00+00:00,1352,67,2408,427
2022-08-31 00:00:00+00:00,1051,74,2417,392
2022-09-01 00:00:00+00:00,2242,78,2867,411
2022-09-02 00:00:00+00:00,1148,55,2376,409
2022-09-03 00:00:00+00:00,247,20,738,155
2022-09-04 00:00:00+00:00,195,22,546,153
2022-09-05 00:00:00+00:00,742,56,1454,313
2022-09-06 00:00:00+00:00,1342,61,2323,382
2022-09-07 00:00:00+00:00,722,53,2191,327
2022-09-08 00:00:00+00:00,732,57,1695,338
2022-09-09 00:00:00+00:00,900,48,1828,317
2022-09-10 00:00:00+00:00,439,27,671,139
2022-09-11 00:00:00+00:00,399,26,841,184
2022-09-12 00:00:00+00:00,566,57,2121,320
2022-09-13 00:00:00+00:00,1119,57,2558,406
2022-09-14 00:00:00+00:00,1564,57,2201,365
2022-09-15 00:00:00+00:00,535,64,1852,376
2022-09-16 00:00:00+00:00,613,59,2397,325
2022-09-17 00:00:00+00:00,41,15,622,173
2022-09-18 00:00:00+00:00,53,24,577,161
2022-09-19 00:00:00+00:00,132,29,1532,357
2022-09-20 00:00:00+00:00,268,36,1523,374
2022-09-21 00:00:00+00:00,570,49,1646,391
2022-09-22 00:00:00+00:00,470,48,1865,438
2022-09-23 00:00:00+00:00,607,49,1639,334
2022-09-24 00:00:00+00:00,184,28,506,149
2022-09-25 00:00:00+00:00,130,38,543,172
2022-09-26 00:00:00+00:00,505,57,1722,361
2022-09-27 00:00:00+00:00,305,51,1429,426
2022-09-28 00:00:00+00:00,402,54,1620,400
2022-09-29 00:00:00+00:00,764,58,1761,388
2022-09-30 00:00:00+00:00,1012,70,1731,357
2022-10-01 00:00:00+00:00,125,28,690,124
2022-10-02 00:00:00+00:00,156,36,624,142
2022-10-03 00:00:00+00:00,466,45,1508,303
2022-10-04 00:00:00+00:00,628,49,1496,365
2022-10-05 00:00:00+00:00,269,40,1636,358
2022-10-06 00:00:00+00:00,796,46,1647,392
2022-10-07 00:00:00+00:00,233,30,1468,336
2022-10-08 00:00:00+00:00,285,28,991,230
2022-10-09 00:00:00+00:00,358,36,831,210
2022-10-10 00:00:00+00:00,409,44,1824,389
2022-10-11 00:00:00+00:00,824,61,2105,417
2022-10-12 00:00:00+00:00,1181,59,2124,410
2022-10-13 00:00:00+00:00,1520,81,2561,447
2022-10-14 00:00:00+00:00,999,50,2388,410
2022-10-15 00:00:00+00:00,414,39,1017,193
2022-10-16 00:00:00+00:00,294,26,672,169
2022-10-17 00:00:00+00:00,969,56,2762,448
2022-10-18 00:00:00+00:00,399,53,2158,428
2022-10-19 00:00:00+00:00,575,56,2269,417
2022-10-20 00:00:00+00:00,1050,71,2369,388
2022-10-21 00:00:00+00:00,1065,49,2098,382
2022-10-22 00:00:00+00:00,457,30,864,186
2022-10-23 00:00:00+00:00,534,29,1097,191
2022-10-24 00:00:00+00:00,799,86,2680,387
2022-10-25 00:00:00+00:00,607,71,2590,482
2022-10-26 00:00:00+00:00,611,47,1883,401
2022-10-27 00:00:00+00:00,1292,67,2202,431
2022-10-28 00:00:00+00:00,1089,58,2188,399
2022-10-29 00:00:00+00:00,488,29,825,192
2022-10-30 00:00:00+00:00,117,25,674,189
2022-10-31 00:00:00+00:00,1155,62,2221,383
2022-11-01 00:00:00+00:00,693,58,1765,425
2022-11-02 00:00:00+00:00,1080,66,2292,438
2022-11-03 00:00:00+00:00,1308,51,2663,447
2022-11-04 00:00:00+00:00,532,48,1747,401
2022-11-05 00:00:00+00:00,193,21,939,216
2022-11-06 00:00:00+00:00,142,20,597,176
2022-11-07 00:00:00+00:00,1070,70,2229,411
2022-11-08 00:00:00+00:00,1117,87,2095,447
2022-11-09 00:00:00+00:00,1585,91,2632,451
2022-11-10 00:00:00+00:00,934,71,2360,412
2022-11-11 00:00:00+00:00,453,48,1267,295
2022-11-12 00:00:00+00:00,280,26,604,173
2022-11-13 00:00:00+00:00,709,29,555,181
2022-11-14 00:00:00+00:00,741,69,2035,454
2022-11-15 00:00:00+00:00,935,61,1984,400
2022-11-16 00:00:00+00:00,1423,65,1777,397
2022-11-17 00:00:00+00:00,554,38,1475,410
2022-11-18 00:00:00+00:00,396,37,1229,315
2022-11-19 00:00:00+00:00,416,24,704,166
2022-11-20 00:00:00+00:00,104,26,577,159
2022-11-21 00:00:00+00:00,621,55,1988,427
2022-11-22 00:00:00+00:00,1167,74,2164,432
2022-11-23 00:00:00+00:00,1593,72,2309,440
2022-11-24 00:00:00+00:00,848,66,1952,365
2022-11-25 00:00:00+00:00,432,59,1301,331
2022-11-26 00:00:00+00:00,263,27,781,163
2022-11-27 00:00:00+00:00,145,25,633,166
2022-11-28 00:00:00+00:00,826,60,2380,440
2022-11-29 00:00:00+00:00,494,60,1857,427
2022-11-30 00:00:00+00:00,593,53,1861,420
2022-12-01 00:00:00+00:00,1528,63,2543,461
2022-12-02 00:00:00+00:00,864,44,1714,329
2022-12-03 00:00:00+00:00,147,28,812,174
2022-12-04 00:00:00+00:00,31,14,770,213
2022-12-05 00:00:00+00:00,1276,89,2276,397
2022-12-06 00:00:00+00:00,890,71,1960,358
2022-12-07 00:00:00+00:00,804,69,1848,383
2022-12-08 00:00:00+00:00,1090,77,2319,389
2022-12-09 00:00:00+00:00,423,50,1479,323
2022-12-10 00:00:00+00:00,111,22,524,131
2022-12-11 00:00:00+00:00,64,22,558,167
2022-12-12 00:00:00+00:00,493,71,2037,387
2022-12-13 00:00:00+00:00,1034,74,2020,355
2022-12-14 00:00:00+00:00,1535,58,2358,388
2022-12-15 00:00:00+00:00,1966,71,2067,336
2022-12-16 00:00:00+00:00,637,44,1480,290
2022-12-17 00:00:00+00:00,376,27,524,148
2022-12-18 00:00:00+00:00,141,27,417,139
2022-12-19 00:00:00+00:00,569,62,1930,324
2022-12-20 00:00:00+00:00,222,36,1521,338
2022-12-21 00:00:00+00:00,126,24,843,289
2022-12-22 00:00:00+00:00,64,24,715,223
2022-12-23 00:00:00+00:00,57,22,590,189
2022-12-24 00:00:00+00:00,35,16,290,107
2022-12-25 00:00:00+00:00,22,8,277,86
2022-12-26 00:00:00+00:00,72,24,647,172
2022-12-27 00:00:00+00:00,88,39,826,210
2022-12-28 00:00:00+00:00,69,15,698,237
2022-12-29 00:00:00+00:00,119,24,656,233
2022-12-30 00:00:00+00:00,497,21,757,198
2022-12-31 00:00:00+00:00,245,16,206,86
2023-01-01 00:00:00+00:00,26,13,229,98
2023-01-02 00:00:00+00:00,62,23,617,196
2023-01-03 00:00:00+00:00,112,26,1080,305
2023-01-04 00:00:00+00:00,664,59,1492,292
2023-01-05 00:00:00+00:00,432,41,1952,372
2023-01-06 00:00:00+00:00,812,53,1662,276
2023-01-07 00:00:00+00:00,54,13,326,136
2023-01-08 00:00:00+00:00,150,26,396,140
