time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-19 00:00:00+00:00,11,7,548,201
2024-12-20 00:00:00+00:00,62,11,1199,376
2024-12-21 00:00:00+00:00,70,10,514,199
2024-12-22 00:00:00+00:00,27,15,482,207
2024-12-23 00:00:00+00:00,181,19,1231,349
2024-12-24 00:00:00+00:00,23,14,1150,276
2024-12-25 00:00:00+00:00,28,16,557,239
2024-12-26 00:00:00+00:00,31,16,733,280
2024-12-27 00:00:00+00:00,110,18,835,280
2024-12-28 00:00:00+00:00,17,9,646,208
2024-12-29 00:00:00+00:00,200,15,460,180
2024-12-30 00:00:00+00:00,78,21,851,303
2024-12-31 00:00:00+00:00,20,13,691,304
2025-01-01 00:00:00+00:00,14,10,423,247
2025-01-02 00:00:00+00:00,12,8,569,197
