referrer,views_total,views_unique
Google,4695,1636
github.com,2941,440
monai.io,591,182
docs.monai.io,313,105
paperswithcode.com,206,72
Bing,154,57
cn.bing.com,125,54
DuckDuckGo,72,24
statics.teams.cdn.office.net,47,13
yandex.ru,27,5
