referrer,views_total,views_unique
Google,7010,2079
github.com,2719,506
docs.monai.io,1100,126
monai.io,755,151
Bing,637,190
cn.bing.com,399,131
paperswithcode.com,222,36
DuckDuckGo,148,40
conferences.miccai.org,145,24
in.search.yahoo.com,134,4
