referrer,views_total,views_unique
Google,4670,1541
github.com,3538,476
monai.io,917,202
docs.monai.io,522,127
cn.bing.com,165,58
paperswithcode.com,118,35
Bing,75,53
statics.teams.cdn.office.net,63,16
DuckDuckGo,28,18
search.brave.com,27,10
