referrer,views_total,views_unique
Google,2563,986
github.com,1406,311
monai.io,386,99
docs.monai.io,185,74
paperswithcode.com,150,45
Bing,89,30
cn.bing.com,69,30
DuckDuckGo,56,18
statics.teams.cdn.office.net,29,10
chat.openai.com,24,2
