time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-06 00:00:00+00:00,486,161,992,394
2025-11-07 00:00:00+00:00,2528,169,1717,701
2025-11-08 00:00:00+00:00,1277,111,850,408
2025-11-09 00:00:00+00:00,1332,123,1029,446
2025-11-10 00:00:00+00:00,1798,107,2049,779
2025-11-11 00:00:00+00:00,1032,144,1697,690
2025-11-12 00:00:00+00:00,1451,119,2085,798
2025-11-13 00:00:00+00:00,2158,125,1987,757
2025-11-14 00:00:00+00:00,1898,133,2072,708
2025-11-15 00:00:00+00:00,1125,178,881,392
2025-11-16 00:00:00+00:00,1201,143,942,400
2025-11-17 00:00:00+00:00,752,161,2141,694
2025-11-18 00:00:00+00:00,2265,238,1827,679
2025-11-19 00:00:00+00:00,461,145,1645,728
2025-11-20 00:00:00+00:00,140,53,809,347
