referrer,views_total,views_unique
Google,5065,1668
github.com,3597,475
monai.io,653,168
docs.monai.io,422,110
paperswithcode.com,155,42
cn.bing.com,124,51
Bing,105,50
developer.nvidia.com,53,21
Baidu,42,21
pypi.org,39,12
