referrer,views_total,views_unique
Google,7056,1958
docs.monai.io,6105,758
github.com,2298,301
Bing,723,185
monai.io,577,130
paperswithcode.com,238,45
cn.bing.com,159,87
pypi.org,104,9
DuckDuckGo,88,21
Baidu,53,24
