referrer,views_total,views_unique
Google,5726,1665
docs.monai.io,4690,613
github.com,1865,272
Bing,643,130
monai.io,562,117
chatgpt.com,324,73
cn.bing.com,251,83
paperswithcode.com,169,33
DuckDuckGo,57,13
conferences.miccai.org,54,16
