time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-07 00:00:00+00:00,3756,391,700,227
2026-08-08 00:00:00+00:00,10073,489,561,242
2026-08-09 00:00:00+00:00,7040,837,458,188
2026-08-10 00:00:00+00:00,10244,971,634,251
2026-08-11 00:00:00+00:00,6242,741,765,360
2026-08-12 00:00:00+00:00,3273,180,582,264
2026-08-13 00:00:00+00:00,6527,564,669,263
2026-08-14 00:00:00+00:00,9774,288,629,267
2026-08-15 00:00:00+00:00,6093,187,464,215
2026-08-16 00:00:00+00:00,7197,414,351,196
2026-08-17 00:00:00+00:00,13860,272,733,333
2026-08-18 00:00:00+00:00,2033,333,743,306
2026-08-19 00:00:00+00:00,2376,703,777,295
2026-08-20 00:00:00+00:00,19492,734,634,337
