time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-08 00:00:00+00:00,45,21,1017,207
2024-03-09 00:00:00+00:00,45,21,1272,216
2024-03-10 00:00:00+00:00,241,112,1058,229
2024-03-11 00:00:00+00:00,342,44,2313,408
2024-03-12 00:00:00+00:00,287,49,2339,447
2024-03-13 00:00:00+00:00,286,54,2033,432
2024-03-14 00:00:00+00:00,174,52,2162,447
2024-03-15 00:00:00+00:00,272,45,2228,433
2024-03-16 00:00:00+00:00,144,20,1072,217
2024-03-17 00:00:00+00:00,238,104,761,202
2024-03-18 00:00:00+00:00,220,43,2095,435
2024-03-19 00:00:00+00:00,156,44,2100,457
2024-03-20 00:00:00+00:00,279,50,2144,472
2024-03-21 00:00:00+00:00,253,45,1759,446
2024-03-22 00:00:00+00:00,150,34,981,192
