referrer,views_total,views_unique
Google,6475,1808
github.com,2689,361
docs.monai.io,1020,128
monai.io,857,175
Bing,707,186
paperswithcode.com,400,81
cn.bing.com,277,95
conferences.miccai.org,194,24
Baidu,146,22
DuckDuckGo,103,31
