referrer,views_total,views_unique
Google,5326,2022
docs.monai.io,2441,636
github.com,1175,273
Bing,497,200
monai.io,324,132
chatgpt.com,224,117
cn.bing.com,199,105
DuckDuckGo,123,46
Baidu,84,42
paperswithcode.com,78,21
