referrer,views_total,views_unique
Google,3651,1474
github.com,1657,428
Bing,340,135
monai.readthedocs.io,298,134
chatgpt.com,129,74
search.brave.com,114,28
project-monai.github.io,58,23
statics.teams.cdn.office.net,44,13
conferences.miccai.org,33,15
ecosia.org,32,2
