time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-18 00:00:00+00:00,527,48,993,204
2023-09-19 00:00:00+00:00,660,58,2520,401
2023-09-20 00:00:00+00:00,442,47,2145,385
2023-09-21 00:00:00+00:00,580,69,1857,364
2023-09-22 00:00:00+00:00,1297,83,2506,363
2023-09-23 00:00:00+00:00,132,25,842,181
2023-09-24 00:00:00+00:00,166,70,1175,185
2023-09-25 00:00:00+00:00,649,116,2670,440
2023-09-26 00:00:00+00:00,799,111,2144,397
2023-09-27 00:00:00+00:00,358,57,2340,392
2023-09-28 00:00:00+00:00,387,87,1606,342
2023-09-29 00:00:00+00:00,230,36,1352,294
2023-09-30 00:00:00+00:00,296,19,563,148
2023-10-01 00:00:00+00:00,483,87,806,149
2023-10-02 00:00:00+00:00,138,20,572,106
