referrer,views_total,views_unique
github.com,2980,740
Google,2799,1406
Bing,496,179
monai.readthedocs.io,413,155
chatgpt.com,184,108
project-monai.github.io,88,27
search.brave.com,76,23
Baidu,67,27
doubao.com,63,18
conferences.miccai.org,57,23
