referrer,views_total,views_unique
Google,5114,1817
github.com,2593,456
monai.io,486,138
docs.monai.io,391,118
paperswithcode.com,165,65
Bing,158,83
cn.bing.com,133,70
Baidu,71,24
DuckDuckGo,57,16
statics.teams.cdn.office.net,46,18
