url_path,views_total,views_unique
/Project-MONAI/MONAI,2246,1320
/Project-MONAI/MONAI/tree/dev/monai,1603,401
/Project-MONAI/MONAI/tree/dev/monai/networks,550,149
/Project-MONAI/MONAI/tree/dev/monai/networks/nets,507,136
/Project-MONAI/MONAI/issues,356,137
/Project-MONAI/MONAI/pulls,321,41
/Project-MONAI/MONAI/blob/dev/monai/networks/nets/swin_unetr.py,304,69
/Project-MONAI/MONAI/tree/dev/monai/transforms,270,71
/Project-MONAI/MONAI/pull/7861,211,36
/Project-MONAI/MONAI/blob/59a7211070538586369afd4a01eca0a7fe2e742e/monai/losses/dice.py,206,58
