time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-08 00:00:00+00:00,142,11,600,113
2023-10-09 00:00:00+00:00,775,123,2054,371
2023-10-10 00:00:00+00:00,710,76,2295,433
2023-10-11 00:00:00+00:00,755,96,2634,393
2023-10-12 00:00:00+00:00,597,59,2772,406
2023-10-13 00:00:00+00:00,437,50,2204,424
2023-10-14 00:00:00+00:00,100,40,1017,187
2023-10-15 00:00:00+00:00,204,97,766,170
2023-10-16 00:00:00+00:00,575,59,2827,453
2023-10-17 00:00:00+00:00,457,92,2804,419
2023-10-18 00:00:00+00:00,751,58,2175,408
2023-10-19 00:00:00+00:00,616,61,2239,397
2023-10-20 00:00:00+00:00,252,40,2311,332
2023-10-21 00:00:00+00:00,44,24,867,189
2023-10-22 00:00:00+00:00,177,84,217,64
