referrer,views_total,views_unique
Google,6281,1887
docs.monai.io,5262,673
github.com,2053,295
Bing,659,128
monai.io,606,123
chatgpt.com,368,83
cn.bing.com,294,90
paperswithcode.com,245,43
DuckDuckGo,55,13
conferences.miccai.org,54,14
