referrer,views_total,views_unique
Google,7022,1808
github.com,3386,386
monai.io,1126,175
docs.monai.io,917,129
Bing,447,124
paperswithcode.com,291,68
cn.bing.com,169,76
statics.teams.cdn.office.net,116,17
pypi.org,93,11
medium.com,53,4
