referrer,views_total,views_unique
Google,3670,1464
docs.monai.io,2013,549
github.com,1091,246
chatgpt.com,428,151
Bing,395,135
monai.io,211,102
cn.bing.com,125,52
DuckDuckGo,73,24
Baidu,60,26
search.brave.com,60,14
