referrer,views_total,views_unique
github.com,6741,814
Google,4581,1385
docs.monai.io,320,100
paperswithcode.com,170,45
cn.bing.com,146,39
Bing,98,41
monai.io,67,25
statics.teams.cdn.office.net,44,24
pypi.org,41,11
DuckDuckGo,37,12
